dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
satimage,AC,signal_msp,signal_margin_prob,5.386241955499732e-05,-0.00024268896375534454,0.00048667189765757527,False,False,-7.412800244257172e-05,0.0003360049898569844,False,False,10,15000
satimage,AC,signal_msp,signal_temp_msp,2.3139083041348205e-05,-0.000533220670190014,0.0005151400290860368,False,False,-0.00010552988250207597,0.00015103167336538245,False,False,10,15000
satimage,AC,signal_msp,signal_trust_score,0.0013779622065115038,-0.002658917979005861,0.006404450606993106,False,False,0.00037906482477343453,0.002437588269060492,True,False,10,15000
wine_quality_white,AC,signal_msp,A0_rank,-0.019739128724203452,-0.03701539315236166,-0.004244349112894526,True,True,-0.023408599780489685,-0.016022179770785027,True,True,10,15000
wine_quality_white,AC,signal_msp,A1_lightgbm,-0.0329259984639196,-0.06657910322751824,-0.000992572684714268,True,True,-0.04018542712868285,-0.025910935311074766,True,True,10,15000
wine_quality_white,AC,signal_msp,A1_logreg,-0.04514335416986735,-0.07085059406776405,-0.019222248967552265,True,True,-0.05113633681736898,-0.039245115852570366,True,True,10,15000
wine_quality_white,AC,signal_msp,A1_logreg_naive_meta,-0.04131430260290069,-0.06902794804653357,-0.01602133570406073,True,True,-0.048150015198789316,-0.034920067640133126,True,True,10,15000
wine_quality_white,AC,signal_msp,A2_adaptive_loss3,-0.02973447992399005,-0.06390003911558881,0.0028486277728729313,False,False,-0.03695118503326461,-0.02262936101958941,True,True,10,15000
wine_quality_white,AC,signal_msp,A2_mlp_bce,-0.035942153373852426,-0.0656320165570792,-0.0055704540067573255,True,True,-0.04326062487646719,-0.029197395899205805,True,True,10,15000
wine_quality_white,AC,signal_msp,A2_mlp_loss1,-0.022403568453621805,-0.04964919665405066,-0.003008352215681807,True,True,-0.02703752777679557,-0.018079270718933733,True,True,10,15000
wine_quality_white,AC,signal_msp,A2_mlp_loss2,-0.031860853050827406,-0.058078685352098126,-0.006606276620463376,True,True,-0.038034142791000654,-0.025676415093010455,True,True,10,15000
wine_quality_white,AC,signal_msp,A2_mlp_loss3,-0.038194833114195,-0.06814140509264362,-0.007898912419218139,True,True,-0.04509362040288421,-0.031129713089952143,True,True,10,15000
